Kasus Harian,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
15-Mar-20,,,,,,,19,,,2,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-20,,,1,,,,14,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-20,,,4,,,1,30,,12,2,,,1,,,,,,,,,1,,,,1,1,,,,,,,
19-Mar-20,,,10,,,2,52,,2,4,1,,2,,,,2,,,,,1,3,2,,,1,,,,,,,
20-Mar-20,,3,10,,,-1,5,,15,,6,,7,2,,,1,,,,,,,,,,-1,,,,,,,
21-Mar-20,,,4,,,1,44,,14,2,11,,,,,,,,,,,,,2,,,,,,,,,,
22-Mar-20,,,,,,,40,,4,1,15,,,,1,,,,,,,,,,,,,,1,,2,,,
23-Mar-20,,3,9,,,,44,1,,,,,2,,,,1,,,,,,,,,,,1,,,,,,
24-Mar-20,,,9,,,1,70,,1,4,10,1,,1,,,,1,1,,1,5,,,,,1,,,,1,,,
25-Mar-20,,3,2,,,11,39,,13,19,,,,,1,,,1,,,,,,9,,,,,,,,,,
26-Mar-20,1,,,,,,53,,5,2,8,,,2,,,,,,3,,,,14,1,2,1,,,,4,,,
27-Mar-20,3,,17,,,6,83,,20,3,7,,,,,,,,,2,,,,2,,1,,,,2,,,,
28-Mar-20,,,10,,,,38,,21,12,11,,6,1,,2,,,1,,,,,4,1,,,,,,,,,
29-Mar-20,,1,3,,,,48,,30,8,13,5,,,,,,,,,,,,15,,,1,,,,2,,,
30-Mar-20,,9,22,1,,1,24,1,25,17,1,1,,,4,,1,,,3,,5,,4,,4,1,,,,,,,
31-Mar-20,,,14,1,1,5,41,,16,13,2,,3,2,2,,1,2,3,,,6,,,,,,,,,1,,,
1-Apr-20,,6,11,,,5,62,,21,11,11,1,1,,,,,2,,,1,2,,15,,,,,,,,,,
2-Apr-20,,,8,,,,80,,15,,,,,,,,,,6,,,,,,,,4,,,,,,,
3-Apr-20,,2,6,,1,,74,,2,10,52,,1,3,,6,1,1,1,,,,3,16,2,4,3,,,,6,,,
4-Apr-20,,5,3,,,5,55,,24,7,,,2,,,,,,,,,3,,,,,,,,,2,,,
